,ProdTaken,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisited,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisited,Designation,Age,DurationOfPitch,MonthlyIncome
0,1,Self Enquiry,3,Salaried,Female,3,3.0,Deluxe,3.0,Single,1.0,1,2,1,0.0,Manager,41.0,6.0,20993.0
1,0,Company Invited,1,Salaried,Male,3,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,2.0,Manager,49.0,14.0,20130.0
2,1,Self Enquiry,1,Free Lancer,Male,3,4.0,Basic,3.0,Single,7.0,1,3,0,0.0,Executive,37.0,8.0,17311.7
3,0,Company Invited,1,Salaried,Female,2,3.0,Basic,3.0,Divorced,2.0,1,5,1,1.0,Executive,33.0,9.0,17909.0
4,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,4.0,Divorced,1.0,0,5,1,0.0,Executive,36.0,8.0,18468.0
5,0,Company Invited,1,Salaried,Male,3,3.0,Basic,3.0,Single,1.0,0,5,1,1.0,Executive,32.0,8.0,18068.0
6,0,Self Enquiry,1,Small Business,Female,2,2.0,Basic,5.0,Divorced,5.0,1,2,1,1.0,Executive,55.0,9.0,17670.0
7,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,30.0,30.0,17693.0
8,0,Company Invited,1,Salaried,Male,2,4.0,Standard,3.0,Unmarried,1.0,0,3,0,0.0,Senior Manager,38.0,29.0,24526.0
9,0,Self Enquiry,1,Small Business,Male,3,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,0.0,Manager,36.0,32.0,20237.0
10,0,Self Enquiry,1,Small Business,Male,2,2.0,Basic,4.0,Divorced,1.0,0,3,1,1.0,Executive,35.0,22.0,17426.0
11,0,Self Enquiry,1,Salaried,Female,2,4.0,Deluxe,3.0,Single,1.0,1,3,0,0.0,Manager,36.0,21.0,22347.0
12,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,0,3,0,1.0,Executive,31.0,32.0,17911.0
13,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Married,1.0,0,3,0,2.0,Executive,34.0,25.0,17661.0
14,1,Self Enquiry,1,Salaried,Male,2,4.0,Basic,3.0,Single,6.0,1,2,0,0.0,Executive,28.0,30.0,17311.7
15,0,Self Enquiry,1,Salaried,Female,2,2.0,Standard,5.0,Married,2.0,0,5,1,1.0,Senior Manager,29.0,27.0,24980.0
16,0,Self Enquiry,1,Salaried,Male,3,2.0,Basic,4.0,Married,1.0,1,2,1,0.0,Executive,32.0,11.0,18298.0
17,0,Company Invited,1,Small Business,Male,3,2.0,Basic,3.0,Married,2.0,1,3,0,0.0,Executive,24.0,22.0,17935.0
18,0,Self Enquiry,3,Salaried,Female,3,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,0.0,AVP,53.0,8.0,30427.0
19,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,6.0,1,4,0,1.0,Executive,36.0,8.0,22347.0
20,0,Company Invited,1,Salaried,Female,3,2.0,Deluxe,3.0,Married,1.0,0,3,1,2.0,Manager,36.0,17.0,22347.0
21,1,Self Enquiry,3,Salaried,Male,2,4.0,Deluxe,5.0,Single,1.0,0,2,0,0.0,Manager,36.0,15.0,18407.0
